Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
18.02.2022 00:00:00;Niederösterreich;3;1690879;5080;408940;40826;2414,484;3;2219;5764;356777
18.02.2022 00:00:00;Oberösterreich;4;1495608;4171;458360;35992;2406,513;4;2470;6670;404392
18.02.2022 00:00:00;Salzburg;5;560710;1708;193678;11144;1987,48;1;841;2412;176178
18.02.2022 00:00:00;Steiermark;6;1247077;3979;300055;28250;2265,297;2;2601;5166;262264
18.02.2022 00:00:00;Tirol;7;760105;2283;251721;17332;2280,211;3;869;2930;229503
18.02.2022 00:00:00;Vorarlberg;8;399237;1233;120539;9216;2308,403;0;480;1733;106614
18.02.2022 00:00:00;Wien;9;1920949;5243;516893;43143;2245,921;4;3006;6287;427284
18.02.2022 00:00:00;Österreich;10;8932664;25899;2465605;202576;2267,812;19;14065;34554;2152602
19.02.2022 00:00:00;Burgenland;1;296010;715;63167;5012;1693,186;0;423;716;55550
19.02.2022 00:00:00;Kärnten;2;562089;1330;154297;11551;2055,013;1;1157;2499;137255
19.02.2022 00:00:00;Niederösterreich;3;1690879;4194;413134;40147;2374,327;4;2223;5487;362264
19.02.2022 00:00:00;Oberösterreich;4;1495608;4183;462543;35247;2356,7;5;2475;6026;410418
19.02.2022 00:00:00;Salzburg;5;560710;1268;194946;11040;1968,932;0;841;1996;178174
19.02.2022 00:00:00;Steiermark;6;1247077;3122;303177;27648;2217,024;3;2604;4396;266660
19.02.2022 00:00:00;Tirol;7;760105;2032;253753;17460;2297,051;6;875;2264;231767
19.02.2022 00:00:00;Vorarlberg;8;399237;1071;121610;8904;2230,254;0;480;1760;108374
19.02.2022 00:00:00;Wien;9;1920949;3981;520874;42308;2202,453;4;3010;5422;432706
19.02.2022 00:00:00;Österreich;10;8932664;21896;2487501;199317;2231,328;23;14088;30566;2183168
20.02.2022 00:00:00;Burgenland;1;296010;887;64054;5147;1738,793;1;424;685;56235
